9E-ABE	1	131	15.24040404040404
9E-ALB	1	95	16.125850340136054
9E-ALO	1	75	14.721830985915492
9E-ATL	5	298	24.391850773911894
9E-ATW	1	175	15.042888563049853
9E-AUS	1	99	15.173913043478262
9E-AVL	1	155	15.009246417013408
9E-AVP	1	96	16.81138790035587
9E-AZO	1	134	13.879020643302928
9E-BDL	1	120	16.79308510638298
9E-BGM	1	134	15.000704721634953
9E-BGR	1	192	17.700374531835205
9E-BHM	1	113	15.413781282139183
9E-BIL	7	90	15.75
9E-BIS	1	84	11.114967462039045
9E-BJI	0	90	10.960199004975124
9E-BNA	1	150	15.85126253891387
9E-BOS	1	179	22.419224283305226
9E-BTR	1	58	12.332697807435652
9E-BTV	1	139	19.75561797752809
9E-BUF	1	93	16.43095238095238
9E-BWI	1	144	16.145454545454545
9E-BZN	1	75	24.5625
9E-CAE	1	90	14.645810859403092
9E-CAK	1	129	16.1234693877551
9E-CHA	1	66	12.5595703125
9E-CHS	1	98	16.162307176391682
9E-CID	1	95	13.193178195728404
9E-CLE	1	130	19.291167973586465
9E-CLT	1	306	19.65740740740741
9E-CMH	1	156	14.329901731399158
9E-CMX	1	65	15.30952380952381
9E-COS	9	73	17.496062992125985
9E-CPR	1	97	17.096153846153847
9E-CRW	3	108	12.91747572815534
9E-CVG	1	175	17.654828660436138
9E-CWA	1	108	12.770478507704786
9E-DAY	1	132	15.742456326098464
9E-DCA	1	252	17.27920305676856
9E-DEN	1	96	20.288695652173914
9E-DFW	1	97	18.84903934126258
9E-DLH	1	106	14.867379679144385
9E-DSM	1	120	13.717794836008373
9E-DTW	1	191	20.943631648480697
9E-EAU	1	29	10.98611111111111
9E-ELM	1	118	13.57125796178344
9E-ERI	1	148	12.942895683453237
9E-EVV	1	132	12.608021007400334
9E-EWR	13	110	36.44565217391305
9E-FAR	1	159	13.380300065231571
9E-FCA	1	127	20.859375
9E-FLL	1	129	19.352941176470587
9E-FNT	1	106	12.172976501305483
9E-FSD	1	63	12.9916476841306
9E-FSM	1	126	12.913217623497998
9E-FWA	1	128	13.702219040801719
9E-GFK	1	92	11.86382393397524
9E-GLH	10	17	13.5
9E-GPT	1	111	12.43466107617051
9E-GRB	1	102	12.524489795918367
9E-GRR	1	201	16.157935684647303
9E-GSO	1	151	16.568646355572696
9E-GSP	1	121	13.880553833436661
9E-GTF	1	100	13.403508771929825
9E-HLN	1	94	18.50347705146036
9E-HOU	5	123	14.988718775181306
9E-HPN	1	247	20.582857142857144
9E-HSV	1	125	13.732726298875201
9E-IAD	1	156	20.40366972477064
9E-IAH	1	192	19.84510750329092
9E-ICT	1	120	13.95611038107753
9E-IDA	1	94	17.646288209606986
9E-IND	1	156	17.608781127129753
9E-INL	1	97	11.145328719723183
9E-ITH	8	84	22.487603305785125
9E-JAN	1	92	14.251306021446247
9E-JAX	1	94	14.725913621262459
9E-LAN	1	67	13.606984126984127
9E-LEX	1	153	13.444900191413726
9E-LGA	1	276	31.273277222514466
9E-LIT	1	107	15.362266857962696
9E-LNK	1	115	11.53922967189729
9E-LSE	1	111	11.615039281705949
9E-MBS	1	86	12.063728813559322
9E-MCI	1	203	14.734672580224368
9E-MCO	16	16	16.0
9E-MDT	1	111	16.662870159453302
9E-MDW	10	80	18.71875
9E-MEM	1	226	18.84494574169779
9E-MGM	1	79	13.279494382022472
9E-MHT	1	43	16.181818181818183
9E-MIA	16	26	19.41176470588235
9E-MKE	6	140	15.898395721925134
9E-MLI	1	175	13.067245119305857
9E-MOB	1	155	11.864651773981603
9E-MSN	1	115	14.789235639981909
9E-MSO	19	24	21.5
9E-MSP	1	216	21.184766228208897
9E-MSY	12	45	17.866666666666667
9E-MYR	1	39	12.478658536585366
9E-OKC	1	173	15.919432364385443
9E-OMA	1	94	14.11754716981132
9E-ORD	13	82	29.555555555555557
9E-ORF	1	133	17.226332970620238
9E-PFN	1	100	11.754158964879853
9E-PHL	1	209	27.375813128326435
9E-PIA	1	91	16.010660980810236
9E-PIR	6	19	11.333333333333334
9E-PIT	1	117	17.370987763787905
9E-PLN	1	93	13.215789473684211
9E-PNS	1	87	12.5315232397607
9E-PWM	1	106	17.471698113207548
9E-RAP	1	56	11.996197718631178
9E-RDU	1	95	13.922057917436845
9E-RHI	1	86	10.313953488372093
9E-RIC	1	112	15.948955121616992
9E-ROA	1	77	14.88724832214765
9E-ROC	1	119	18.346456692913385
9E-RST	1	129	11.84631360332295
9E-RSW	1	48	15.068027210884354
9E-SAT	7	79	15.539651837524177
9E-SAV	1	85	15.383362420011634
9E-SBN	1	159	14.996198751018191
9E-SCE	1	88	15.959475566150179
9E-SDF	1	105	14.343720712277413
9E-SGF	1	108	13.164762992575671
9E-SHV	1	76	12.008818342151676
9E-SLC	1	76	17.419047619047618
9E-SRQ	9	30	14.9375
9E-STL	1	178	15.481735872619419
9E-STX	10	52	19.224489795918366
9E-SUX	1	198	11.136434108527132
9E-SWF	1	101	19.60787069571328
9E-SYR	8	42	20.20754716981132
9E-TLH	1	81	11.230645161290322
9E-TPA	10	30	17.125
9E-TRI	4	81	14.363636363636363
9E-TUL	1	176	17.019928258270227
9E-TVC	1	98	17.508084577114428
9E-TYS	1	183	13.638294711824123
9E-XNA	1	157	14.699153511782201
AA-ABQ	1	243	11.831309236368877
AA-ALB	1	207	15.361733931240657
AA-AMA	1	137	10.616513761467889
AA-ANC	1	69	14.250722543352602
AA-ATL	1	272	19.729224159792352
AA-AUS	1	376	11.855612211966694
AA-BDL	1	214	14.401459854014599
AA-BHM	1	167	11.466162162162162
